物品完成时间：
物品名称                完成时间               次数
28924               2024-04-02 21:41:32      4
94213               2024-04-03 06:43:59      5
94798               2024-04-03 09:18:42      2
30335               2024-04-03 15:00:43      3
77294               2024-04-03 19:38:48      6
7836                2024-04-04 07:53:02      5
2827                2024-04-04 16:03:52      4
246                 2024-04-04 18:10:38      4
51413               2024-04-04 18:11:20      3
64840               2024-04-04 18:59:35      3
8280                2024-04-05 00:00:28      4
4922                2024-04-05 01:37:36      2
5152                2024-04-05 01:38:17      2
20748               2024-04-05 01:38:21      2
12873               2024-04-05 05:28:22      2
18764               2024-04-05 07:59:24      3
87471               2024-04-07 08:15:21      4
